O.S;Frota;Modelo;Grupo Operativo;Descrição da O.S
165489445;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_15,00_2- Revisar sistema elétrico completo.
"
165489484;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_10,00_2- Desmontar 
"
165489492;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_2,00_2- Desmontar cabeçalho
"
165489495;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_2,00_2- Desmontar Tanden.
"
165489497;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_3,00_1 Realizar aplicação de L.P.  6010879_1; 6013651_1.


"
165490191;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_SAFRA_2,00_2- Revisar sistema chassi
"
165490206;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_SAFRA_2,00_2- Revisar cabeçalho.


"
165490215;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_SAFRA_2,00_2- Montar sistema do Tanden e roda de profundidade. 8189345_4; 8109230_4; 8136759_2; 8149002_4; 8109255_8; 8136020_2; 8141638_2; 8141637_2.


"
165490219;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_SAFRA_2,00_2- Montar Sistema do chassi. 8149598_4; 8135747_32; 8139337_4; 8139343_8; 8139344_4; 8139225_4; 8139243_4; 8135297_2; 8068960_4; 8135884_1; 8135857_1; 8175689_2; 8175717_2; 8135883_2; 8135874_2; 8175668_8; 8109306_2; 8109133_2; 8109116_4; 8109118_1; 8109122_4; 8109134_4; 8135836_12; 8135817_12; 8015289_26; 6041909_136; 6041908_136; 8106052_2; 8105305_1; 8190321_2; 8117128_2; 8159926_1; 8177567_1; 6004277_1.


"
165490559;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_SAFRA_ 8,00_1 Serviço de caldeiraria e solda na viga do tandem.(Reforçar viga do tandem).


"
165490561;25854;Plant. Cana ATA PCP 1102;Plantadora de Cana;"E_Safra_3,00_1- Revisar motorzinhos do sistema hidráulico.


"
