O.S;"
Status";Código;Descrição;Código;Descrição;Código;Descrição;"
Origem";"
Objeto";Código;Descrição;"
Modelo";Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;"Tempo de
Permanência(h)";Descrição da O.S
151799266;Encerrada;20;Cent Recup Raízen CRR;53;CT RECUP PREV -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101520;John Deere CH670 1LRevamp;1613;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 13:00;3.485,50;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS320666)**
"
151799271;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101501;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 13:00;3.485,50;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS320666)**
"
151799311;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101529;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 00:00;3.472,50;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS315737)**
"
151799318;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;4465170;John Deere CH570 1L Colhe;1219;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 00:00;3.472,50;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS315737)**
"
151799320;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101513;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 00:00;3.472,50;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS315737)**
"
151799351;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101490;John Deere 3522 2L Colhed;685;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 00:00;3.472,50;"RODANTE_ RODA GUIA_ REVISAR RODA GUIA  -  UNID-BARRA  -  COD-3006324  -  QTD-02**(Finalizada por CS315737)**
"
151799353;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101523;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/11/2023 07:30;10/12/2023 17:30;03/04/2024 00:00;3.472,50;"RODANTE_ RODA GUIA_ REVISAR RODA GUIA  -  UNID-BARRA  -  COD-3006324  -  QTD-02**(Finalizada por CS315737)**
"
151800807;Encerrada;20;Cent Recup Raízen CRR;53;CT RECUP PREV -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;163618;John Deere 3520 Colhedora;675;11;Colhedora;;;13/11/2023 07:30;13/12/2023 17:30;16/05/2024 13:30;4.446,00;"RODANTE_RODA MOTRIZ _ REVISAR RODA MOTRIZ  -  UNID-BARRA  -  COD-3007163  -  QTD-02**(Finalizada por CS075364)**
"
151801839;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101518;John Deere CH670 1LRevamp;1613;11;Colhedora;;;14/11/2023 07:30;14/12/2023 17:30;24/04/2024 11:30;3.892,00;"HIDRÁULICA_ BOMBA HIDRÁULICA_ REVISAR BOMBA HIDRÁULICA TRANS. EIXO GROSSO LE DENTRO  -  UNID-BARRA  -  COD-3006462  -  QTD-01**(Finalizada por CS271244)**
"
151810105;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101521;John Deere CH670 1LRevamp;1613;11;Colhedora;;;29/11/2023 07:30;29/12/2023 17:30;18/04/2024 10:40;3.387,17;"HIDRÁULICA_ MOTOR HIDRÁULICO_ REVISAR MOTOR HIDRÁULICO CORTE DE BASE M54 (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA  -  COD-3006639  -  QTD-01**(Finalizada por CS271244)**
"
151815716;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101471;John Deere 3522 2L Colhed;685;11;Colhedora;;;11/12/2023 07:30;11/01/2024 17:30;17/06/2024 15:30;4.544,00;"TRANSMISSÃO_ TRANSMISSÃO_ REVISAR CAIXA 4 FUROS (1 - PRIORIDADE -URGENTE)  -  UNID-BARRA  -  COD-3005804  -  QTD-01  -  HH-15,83**(Finalizada por CS271244)**
"
151815748;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;50174;John Deere CH670 1LRevamp;1613;11;Colhedora;;;11/12/2023 07:30;11/01/2024 17:30;12/04/2024 17:30;2.962,00;"HIDRÁULICA_ MOTOR HIDRÁULICO_ REVISAR MOTOR HIDRÁULICO FACÃO PICADOR (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA  -  COD-3005806  -  QTD-01(ORDEM ENCERRADA PARA TRANSFERENCIA DE EQUIPAMENTO)**(Finalizada por CS328251)**
"
151815765;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;117588;John Deere CH570 1L Colhe;1219;11;Colhedora;;;11/12/2023 07:30;11/01/2024 17:30;16/04/2024 11:30;3.052,00;"HIDRÁULICA_ MOTOR HIDRÁULICO_ REVISAR MOTOR PICADOR CH 670 (1 - PRIORIDADE - URGENTE)    - UNID-BARRA  -  COD-3009881  -  QTD-01**(Finalizada por CS271244)**
"
151815775;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101505;John Deere CH670 2L Colhe;1191;11;Colhedora;;;11/12/2023 07:30;11/01/2024 17:30;06/05/2024 13:30;3.534,00;"HIDRÁULICA_ MOTOR HIDRÁULICO_ REVISAR MOTOR HIDRÁULICO (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA  -  COD-3006876  -  QTD-01**(Finalizada por CS271244)**
"
151822311;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101506;John Deere CH670 2L Colhe;1191;11;Colhedora;;;05/01/2024 07:30;05/02/2024 07:30;05/09/2024 16:40;5.865,17;"HIDRÁULICA_ BOMBA  HIDRÁULICA_ REVISAR BOMBA HIDRÁULICA CORTE DE BASE PICADOR 90L75 (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA  -  COD-3006625  -  QTD-02**(Finalizada por CS271244)**
"
151823417;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101499;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/01/2024 07:30;10/02/2024 17:30;01/08/2024 17:00;4.905,50;"TRANSMISSÃO_ REDUÇÃO JD_ REVISAR REDUÇÃO JD (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA   -  COD-3007666 -  QTD-01**(Finalizada por CS328251)**
"
151823418;Encerrada;20;Cent Recup Raízen CRR;51;CT RECUP PREV - ORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101517;John Deere CH670 2L Colhe;1191;11;Colhedora;;;10/01/2024 07:30;10/02/2024 17:30;18/04/2024 17:30;0;"TRANSMISSÃO_ REDUÇÃO JD_ REVISAR REDUÇÃO JD (1 - PRIORIDADE - URGENTE) (RESERVA CRR)  -  UNID-BARRA   -  COD-3007666 -  QTD-01**(Finalizada por CS271244)**
"
151823419;Encerrada;20;Cent Recup Raízen CRR;53;CT RECUP PREV -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;117588;John Deere CH570 1L Colhe;1219;11;Colhedora;;;10/01/2024 07:30;10/02/2024 17:30;13/05/2024 16:00;2.984,50;"TRANSMISSÃO_ REDUÇÃO JD_ REVISAR REDUÇÃO JD (1 - PRIORIDADE - URGENTE)  -  UNID-BARRA   -  COD-3007666 -  QTD-01**(Finalizada por CS271244)**
"
151825884;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;163650;John Deere CH570 1L Colhe;1219;11;Colhedora;;;23/01/2024 07:30;23/02/2024 17:30;17/05/2024 16:30;2.769,00;"TRANSMISSÃO_ TRANSMISSÃO_ REVISAR CAIXA 4 FUROS (2 - PRIORIDADE - NORMAL)  -  UNID-BARRA  -  COD-3005804  -  QTD-01**(Finalizada por CS271244)**
"
151826484;Encerrada;20;Cent Recup Raízen CRR;52;CT RECUP  CORR -NORÇ;11020;SUPER CENTRAL BARRA;Interna;Equipamento;101520;John Deere CH670 1LRevamp;1613;11;Colhedora;;;26/01/2024 10:08;26/02/2024 17:00;03/04/2024 00:00;0;"CALDEIRARIA_ DISCO DE CORTE DE BASE_ REVISAR DISCO DE CORTE DE BASE LD/LE  -  UNID-BARRA  -  NF-N/A  -  COD-3008692  -  QTD-02
**(Finalizada por CS315737)**
"
