O.S;;Código;Descrição;Código;Descrição;Código;Descrição;;;Código;Descrição;;Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;;Descrição da O.S
152559905;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;74519;M.Benz Atego 2730K 6x4;1310;1;Caminhão;;;14/02/2025 08:40;14/02/2025 08:40;;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedores dianteiros L/E,L/D (estourados) -  02_8139635Material disponível na sala de Aprovisionamento
"
152579455;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;66135;S.Reboque Randon 9,60 M;662;2;Julieta;;;29/04/2025 06:00;29/04/2025 17:00;;0;"A_SS_S_SOL_32,00_2 - Inspeção realizada na estrutura - Serviço de solda no assoalho e estrutura inferior do assalho com corrosão, sapata não levanta  ****EQUIPAMENTO ESTÁ BLOQUEADO***
"
156167088;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;93185;John Deere 7230 J 4x4;1298;3;Trator de Pneu;;;05/05/2025 06:00;05/05/2025 17:00;;0;"A_OT_P_MEC_1,00_2 - Inspeção realizada na cabine - Trocar juntas do parabrisa dianteiro, esta junta vai nas chapas laterais do vidro, diminuindo o impacto e vibrações  8153986_04  NECESSARIO ESCADA PLATAFORMA 4 DEGRAUS OU MAIS    Material disponível na sala de Aprovisionamento 
"
156167282;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;05/05/2025 06:00;05/05/2025 17:00;;0;"A_MT_P_MEC_2,00_1 -   Inspeção realizada no sistema arrefecimento do motor.  trocar mangueira de entrada no radiador de aguá, esta com atrito com a estrutura do radiadiador 8057674_01  8112973_04 (P5) 8100290_01 Material disponível na sala de Aprovisionamento 
"
156167283;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;05/05/2025 06:00;05/05/2025 17:00;;0;"A_VZ_I_MEC_2,00_2 - Inspeção realizada no sistema hidraulico - Retirar vazamento na caixa de bombas, vazamentos nos porticos das bombas
"
156167284;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;05/05/2025 06:00;05/05/2025 17:00;;0;"A_VZ_S_MEC_1,00_1 - Inspeção realizada na caixa facão picador - Retirar vazamento na caixa de engrenagens do facão picador
"
156167285;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;05/05/2025 06:00;05/05/2025 17:00;;0;"A_VZ_S_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - Retirar vazamento na valvula da topadeira, abaixo da cabine valvula apresenta vazamento
"
156168243;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98370;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;07/05/2025 07:00;07/05/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)    F-205         8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. CCT  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIAL RETIRADO PARA TRATAR  SEMANA 32 .

"
156168298;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98292;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;07/05/2025 07:00;07/05/2025 07:00;;0;"A_OT_P_2,00_2,00 - Inspeção realizada no sistema de direção. Trocar bucha do tirante L/D, esta danificada.      8122223_2           (NECESSARIO RECOLHER O EQUIPAMENTO  OU RETIRAR A BARRA DE DIREÇÃO E TRAZER PARA OFICINA FIXA PARA REALIZAR A PRENSAGEM, CONFIRMAR COM O GESTOR DA FRENTE )      Material disponível na sala de Aprovisionamento     
"
165487076;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;117548;John Deere 3520 Colhedora;675;11;Colhedora;;;12/05/2025 06:00;12/05/2025 17:00;;0;"M_OT_S_MEC_2,00_2 - Inspeção realizada na estrutura - Serviço de ajuste da porta do radiador, esta com a estrutura danificada 
"
165487090;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100811;Case Puma 230 4x4;1232;3;Trator de Pneu;;;12/05/2025 06:00;12/05/2025 06:01;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema eletrico. Trocar os farois dianteiros L/E e L/D. Estão ofuscados. 8139232_1, 8136229_1.Frente 207.Material disponível na sala de aprovisionamento 
"
165487600;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;97720;M.Benz Atego 1719;1034;1;Caminhão;;;13/05/2025 11:55;13/05/2025 11:55;;2.857,45;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspenção. Trocar amortecedores dianteiros L/E,L/D (estourados).  02_8150757 (MATERIAL UTILIZADO DE O.S ENCERRADA )   Material disponível na sala de Aprovisionamento 
"
