O.S;Status;Classe;Frota;Unidade;Modelo;Entrada;Descrição da O.S;Coluna1;Coluna2;Coluna22;Priorização;Operação;Coluna3;Material/Laudo/Serviço;
151880037;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;07/06/2024;"A_MT_P_MEC_1,00_1 - Inspeção realizada no motor diesel, trocar braçadeira da mangueira de admissão, entrada do coletor de admissão (CASTELO), está com braçadeira irregular 8150837_1

";A_MT_P;A;A_MT;1;MT;P;MATERIAL;
151880039;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;07/06/2024;"A_MT_P_MEC_1,00_1 - Inspeção realizada no sistema de admissão, trocar braçadeira da admissão do turbo compressor,está com braçadeira irregular 8151314_2  ( mangueira de entrada na turbina parte fria )
";A_MT_P;A;A_MT;1;MT;P;MATERIAL;
151880041;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;07/06/2024;"M_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - trocar mangueira de pressão do acionamento da ventoinha L/E do motor, manguera sai da vavula de acionamento do varicool L/E do motor, esta ressecada e vazando oleo  8157688_01
";M_OT_P;M;M_OT;2;OT;P;MATERIAL;
151880044;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;07/06/2024;"M_OT_P_MEC_2,00_2 - Inspeção realizada no sistema hidraulico, trocar bucha do eixo hidraulico superior, está com folga.8073788_2; 8073784_2 ; 8100621_2 
";M_OT_P;M;M_OT;2;OT;P;MATERIAL;
151899229;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;05/07/2024;"A_SS_P_MEC_0,30_1 - Inspeção realizada nas rodas - Instalar parafuso allen do cubo de roda traseiro L/D , esta sem o parafuso 8129573_02
";A_SS_P;A;A_SS;0;SS;P;MATERIAL;
151943286;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;11/09/2024;"A_VZ_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico - instalar mangueira de coleta de oleo da VCR traseira, esta sem e caindo oleo 8150018_01 8109908_01
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;
152547558;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;20/12/2024;"A_VZ_P_6,00_2 - Inspeção realizada no eixo dianteiro - Trocar vedação e luvas do eixo de entrada, eixo de entrada da tração do diferencial dianteiro esta com vazamento devido falta de lubrificação 8144970_1; 8144881_1; 8144954_1; 8144882_2; 8144940_1; 8149579_1; 8149616_1; 8149617_1; 8149822_1; 8122265_1; 8132640_1; 8107553_1; 8150037_2; 8152595_1; 8150036_1 eixo NECESSARIO RECOLHER O TRATOR POIS DEVE SER RETIRADO O DIFERENCIAL
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;
152547568;Aprovisionamento;Preventiva Condicional;102768;Barra;John Deere 8270R 4X4;20/12/2024;"A_VZ_P_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, trocar cilindro de direção L/E, está com vazamento.3011407_1.
";A_VZ_P;A;A_VZ;1;VZ;P;MATERIAL;
151871106;Aprovisionamento;Preventiva Condicional;102783;Barra;John Deere 8270R 4X4;24/05/2024;"A_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal da barra de direção L/E , está com folga 8175002_1; 8150490_2; 8177726_1
";A_OT_P;A;A_OT;1;OT;P;MATERIAL;
151897184;Aprovisionamento;Preventiva Condicional;102783;Barra;John Deere 8270R 4X4;03/07/2024;"M_MT_P_MEC_0,20_1 - Inspeção realizada no sistema admissao - trocar mangote superior da entrada na carcaça do purificador de ar externo L/E, esta danificada 8142783_01 8149800_02
";M_MT_P;M;M_MT;2;MT;P;MATERIAL;
