O.S;Status;Cod Classe;Classe;Cod Motivo;Motivo;Cod Oficina;OF;Oficina;Equipamento;Frota;Modelo;Cod Modelo;Cod Categ;Categoria Operacional;Cod Prestador;Prestador;Entrada;Saída Prevista;Saída;H;Descrição da ordem;Unidade;CC;Descrição CC;Operação;Qtd Dias aberto;Status Frotas
151824448;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;96367;M.Benz Atego 1719;1034;1;Caminhão;0;0;16/01/2024;16/01/2024 07:30;0;0;"A_3,00_01 - Inspeção realizada sistema de suspensão. Trocar buchas dos molejos dianteiros e traseiros L/E,L/D e buchas da ponta do estabilizador traseiro, do estabilizador dianteiro , amortecedores dianteiros. 02_8139570,(P5) 02_8148469,04(P5 2 UNIDADES FATA 2)_8137449(P5), 02_8150757,02(P5)_8138926(P5)
";Barra;3220;OFICINA MECÂNICA MÁQ AGR;Oficinas;395;DISPONIVEL
151832771;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;0;0;27/02/2024;27/02/2024 06:01;0;489,28;"A_VZ_S_2,00_1 - Inspeção realizada no sistema hidráulico, trocar reparo do cilindro do levante hidráulico, está com vazamento 8150792_2    NÃO POSSUI CILINDRO REMAN, NECESSARIO REMOVER O CILINDRO E ENCAMINHAR PARA RECUPERAR JUNTO AO REPARO
";Diamante;3325;MAQUINAS TRATOS CULTURAIS;Produção;353;DISPONIVEL
151837586;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;106657;Valtra BH 210I 4x4;1105;3;Trator de Pneu;0;0;18/03/2024;18/03/2024 15:44;0;0;"M_SG_P_0,15_1 - Inspeção realizada no sistema eletrico, colocar a tampa da bateria, está sem 8121534_1.
";Diamante;3327;MÁQUINAS APOIO CCT;Apoio;332;DISPONIVEL
151837758;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;0;0;20/03/2024;20/03/2024 07:00;0;0;"A_MT_P_0,10_1,00- Inspeção realizada no sistema de motor. Trocar vareta do nivel de oleo. Esta sem vedação e vazando.      8117353_1   Material disponível na sala de Aprovisionamento!
";Diamante;3325;MAQUINAS TRATOS CULTURAIS;Produção;331;DISPONIVEL
151841657;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;103076;Grade Intermed. Baldan;895;28;Implemento Agricola;0;0;03/04/2024;03/04/2024 17:00;0;0;"A_SG_P_1,00_1 - Inspeção realizada na estrutura - trocar cubo do eixo de articulação, esta rustido e com folga 8176439_01
";Barra;3328;IMPLEMENTOS PREPARO SOLO;Produção;317;DISPONIVEL
151841669;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;42453;Implemento Munck;113;28;Implemento Agricola;0;0;03/04/2024;03/04/2024 06:01;0;0;"A_SS_S_16,00_2 - Inspeção realizada na estrutura do implemento, reparar trincas na mesa do implemento, está com trincas iniciais podendo evoluir e oferecer riscos a estabilidade do implemento IMPLEMENTO ESTÁ EQUIPADO NA FROTA MB ATEGO 45223 UNIDADE DIAMANTE
";Diamante;3322;TRANSP AGRIC MUNCK;Apoio;317;DISPONIVEL
151851314;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100762;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;24/04/2024;24/04/2024 06:01;0;0;"A_OT_I_2,00_2,00 - Inspeção realizada no sistema da cabine. Trocar os amortecedores da cabine L/E e L/D. estão ruins. 8177419_2. 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;296;DISPONIVEL
151851665;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;97734;M.Benz Atego 1719;1034;1;Caminhão;0;0;24/04/2024;24/04/2024 14:30;0;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedor traseiro L/D. (estourado) 01_8144313MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO
";Barra;3220;OFICINA MECÂNICA MÁQ AGR;Oficinas;295;DISPONIVEL
151852729;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102787;John Deere 8260R 4X4;940;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"M_VZ_P_2,00_2 - Inspeção realizada na tomada de força, trocar retentor do eixo da tomada de força. 8120853_1 (ND); 8120857_1 (ND); 6031339_1 (VB)
";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;294;DISPONIVEL
151852731;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102787;John Deere 8260R 4X4;940;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"M_OT_P_1,00_1,00 - Inspeção realizada no sistema estrutural. Instralação da chapa de desgaste da barra de tração. Frente de preparo. 8152963_1 (ND); 8158949_1 (ND); 8155310_2 (ND); 8144592_2 (ND); 8144602_2 (ND

";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;294;DISPONIVEL
