O.S;Descricao Da Ordem;Codigo Produto;Quantidade de Produto
151868468;"M_OT_P_MEC_0,10_1 - Inspeção realizada no sistema hidraulico - trocar tampa do bocal de abastecimento de oleo da transmissao AL165074 8106871_01
";8106871;01
151868470;"M_OT_P_MEC_2,00_2 - Inspeção realizada na estrutura - trocar coxim traseiro da cabine, esta estourado NECESSARIO RECOLHER O TRATOR RE62910 8128352_02 
";8128352;02
151871390;"M_OT_P_MEC_2,00_2 - Inspeção realizada no sistema da cabine. Trocar os amortecedores traseiro da cabine L/E e L/D. estão ruins. 8138302_2
";8138302;2
151871392;"B_OT_P_MEC_2,00_2 - Inspeção realizada no sistema de cabine, trocar kit coxin dianteiro da cabine, estão rachados. RECOLHER O EQUIPAMENTO OU LEVAR O SUPORTE COM COXIM PRENSADO 8134754_2 
";8134754;2
151871404;"A_VZ_P_2,00_2 - Inspeção realizada no comando hidráulico, trocar reparo do comando, está vazando 8108702_4

";8108702;4
151871421;"A_OT_P_2,00_1 - Inspeção realizada no hidraulico, trocar bucha do eixo oscilante superior do braço elevador da barra hidraulica  8128780_2; 8073788_2
";8128780;2
151871421;"A_OT_P_2,00_1 - Inspeção realizada no hidraulico, trocar bucha do eixo oscilante superior do braço elevador da barra hidraulica  8128780_2; 8073788_2
";8073788;2
151871424;"A_TR_P_1,00_1 - Inspeção realizada na transmissão, trocar visor de nivel, está ofuscado, ruim de ver o nivel 8101078_1

";8101078;1
151874956;"M_OT_P_MEC_1,00_1 - Inspeção realizada no sistema direção - trocar terminal de direção L/D e L/E , eixo de 3 metros esta com folga no terminal 8112653_01  8112601_01

";8112653;01
151874956;"M_OT_P_MEC_1,00_1 - Inspeção realizada no sistema direção - trocar terminal de direção L/D e L/E , eixo de 3 metros esta com folga no terminal 8112653_01  8112601_01

";8112601;01
