O.S;;Código;Descrição;Código;Descrição;Código;Descrição;;;Código;Descrição;;Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;;Descrição da O.S
156168243;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98370;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;07/05/2025 07:00;07/05/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)    F-205         8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. CCT  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIAL RETIRADO PARA TRATAR  SEMANA 32 .

"
156168298;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98292;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;07/05/2025 07:00;07/05/2025 07:00;;0;"A_OT_P_2,00_2,00 - Inspeção realizada no sistema de direção. Trocar bucha do tirante L/D, esta danificada.      8122223_2           (NECESSARIO RECOLHER O EQUIPAMENTO  OU RETIRAR A BARRA DE DIREÇÃO E TRAZER PARA OFICINA FIXA PARA REALIZAR A PRENSAGEM, CONFIRMAR COM O GESTOR DA FRENTE )      Material disponível na sala de Aprovisionamento     
"
165497765;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_OT_P_MEC_2,00_2,00 - Inspeção realizada no sistema de direção. Trocar coifa do 1° eixo direcional L/E e L/D está rasgada.              8176116_2  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERIAL RETIRADO  JOW 
"
165497769;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_OT_P_0,15_1,00 - Inspeção realizada no sistema do arla. Trocar a tampa do tanque arla,esta vazando.         8174965_1     MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  MATERIAL RETIRADO JOW 
"
165498585;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98382;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)          8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO RETIRADO RAFAEL DOMINGUES 
"
165498598;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98386;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_MEC_1,00_1,00 - Inspeção realizada no sistema de cambio. 2ºmarcha e 6º não engata, NECESSARIO RECOLHER PARA OFICINA FIXA!!!
"
165498615;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98418;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;02/06/2025 06:00;02/06/2025 07:00;;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)          8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO RETIRADO RAFAEL DOMINGUES 
"
165501359;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98372;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;09/06/2025 06:00;09/06/2025 07:00;;0;"A_MT_P_MEC_0,15_1,00 - Inspeção realizada no sistema de admissão. Instalar valvula da carcaça do filtro de ar (mamica), esta faltando.    8047093_1

"
165504921;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98295;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;16/06/2025 06:00;16/06/2025 07:00;;0;"A_SS_P_MEC_2,00_1,00 - Inspeção realizada no sistema de suspensão. Trocar ``bexigão de ar´´ do 3° eixo L/D, esta furado.    8174213_1     f-206
"
165505239;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98372;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;17/06/2025 06:00;17/06/2025 07:00;;0;"A_SS_P_MEC_1,00_1,00 - Inspeção realizada no sistema eletrico. Trocar alavanca do freio motor, esta danificada.       8123181_1      F-207                  ENTREGAR PARA GANSINHO ELETRECISTA!!!
"
165505241;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98366;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;17/06/2025 06:00;17/06/2025 07:00;;0;"A_SS_S_ELETR_1,00_1,00 - Inspeção realizada no sistema eletrico. Corrigir painel, marcador de combustivel não esta marcando.                             (JA FOI REALIZADA A TROCA DA BÓIA DO TANQUE POR UMA ORIGINAL E A PENDÊNCIA CONTINUA)                        F-205
"
165505780;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98388;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no eixo traseiro, trocar retentor do pinhão do 2° diferrencial, está com vazamento 6012831	_1
"
