O.S;Frota;Modelo;Descrição da O.S
156169735;101498;John Deere CH670 1LRevamp;"A_VZ_P_MEC_2,00_1  Inspeção realizada no sistema hidraulico.  trocar cilindro da suspensão L/D, esta vazando. 3006060_01
"
151852720;96954;Volvo FMX 540 6X4 CAV;"A_OT_P_1,50_01 - Inspeção realizada sistema de chassi. Trocar 5º roda (foi para oficina regular não dá mais regulagem), e está com desgaste na base . 01_8177115

"
151871106;102783;John Deere 8270R 4X4;"A_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal da barra de direção L/E , está com folga 8175002_1; 8150490_2; 8177726_1(P5)
"
151874956;93184;John Deere 7230 J 4x4;"M_OT_P_MEC_1,00_1 - Inspeção realizada no sistema direção - trocar terminal de direção L/D e L/E , eixo de 3 metros esta com folga no terminal 8112653_01(P5)  8112601_01
EQUIPAMANTO NA OFICINA JEAN
"
151888264;93184;John Deere 7230 J 4x4;"B_OT_P_MEC_2,00_2 - Inspeção realizada na estrutura - trocar coxim traseiro da cabine, esta estourado NECESSARIO RECOLHER O TRATOR RE62910 8128352_02  (P5  QUAntidade 3)  EQUIPAMANTO NA OFICINA JEAN MATERIAL VEIO 3 FALTA 1
"
151888286;93184;John Deere 7230 J 4x4;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03(P5) 8122029_03 8001527_03     EQUIPAMANTO NA OFICINA JEAN MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  - MATERAIL 8108702 RETIRADO JEAN  BERNINI  
"
151888287;93182;John Deere 7230 J 4x4;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 (P5) 8122029_03 8001527_03 (P5)MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  RETIRADO JEAN  BERNINI 
"
151897184;102783;John Deere 8270R 4X4;"M_MT_P_MEC_0,20_1 - Inspeção realizada no sistema admissao - trocar mangote superior da entrada na carcaça do purificador de ar externo L/E, esta danificada 8142783_01 8149800_02
"
151897987;102777;John Deere 8270R 4X4;"A_TR_P_MEC_1,00_1 - Inspeção realizada na transmissão - trocar retentor de eixo de saida da TDP traseira, esta com pequeno vazamento 8120857_01 8120853_01
"
151897996;97720;M.Benz Atego 1719;"A_SS_P_2,00_2 - Inspeção realizada no eixo traseiro, colocar barra de torção traseira, está faltando. 8137449_2; 8189587_1; 8137449_5; 8189615_2; 8139564_2; 8150734_4; 8138926_2; 8151239_4; 8144313_2; 8153876_4; 8159625_2; 8189624_2; 8159524_4; 8189630_2  ; 8137789_4; 8139584_2; 8189619_2 ; 8159498_6; 8122822_2; 8159484_4; 8189759_2; 8153767_2; 8189558_4; 8139559_4
"
151904664;98916;MB Axor 3131 6x4 Comboio;"A_MT_P_2,00_01 - Inspeção realizada sistema de motor. Trocar junta do cárter do motor (vazando) 01_8153546  
MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO 
"
151926222;93184;John Deere 7230 J 4x4;"M_MT_P_MEC_0,10_1 - Inspeção realizada no sistema admissao de ar - Trocar junta da tampa do filtro de ar externo, a junta esta gasta e auxilia na vedação da tampa com a carcaça do filtro Tampa do Pré-limpador 8144945_01     EQUIPAMANTO NA OFICINA JEAN 
"
